step,time,step time (ms)
2100,2016-02-11T00:56:40.513059,15.743970871
2110,2016-02-11T00:56:40.708048,17.4920558929
2120,2016-02-11T00:56:40.903076,15.9139633179
2130,2016-02-11T00:56:41.120485,54.0900230408
2140,2016-02-11T00:56:41.319227,15.7079696655
2150,2016-02-11T00:56:41.631482,32.2890281677
2160,2016-02-11T00:56:41.859015,15.7480239868
2170,2016-02-11T00:56:42.041829,17.7857875824
2180,2016-02-11T00:56:42.227143,16.0279273987
2190,2016-02-11T00:56:42.409913,19.159078598
2200,2016-02-11T00:56:43.238862,18.9120769501
2210,2016-02-11T00:56:43.427255,15.7489776611
2220,2016-02-11T00:56:43.607125,18.7880992889
2230,2016-02-11T00:56:43.788581,19.0341472626
2240,2016-02-11T00:56:43.993490,16.5450572968
2250,2016-02-11T00:56:44.186400,19.0031528473
2260,2016-02-11T00:56:44.379305,19.0918445587
2270,2016-02-11T00:56:44.564727,16.2599086761
2280,2016-02-11T00:56:44.754186,19.1290378571
2290,2016-02-11T00:56:44.956533,20.448923111
2300,2016-02-11T00:56:45.143650,19.2089080811
2310,2016-02-11T00:56:45.337088,16.9289112091
2320,2016-02-11T00:56:45.521999,20.5798149109
2330,2016-02-11T00:56:45.703437,18.8291072845
2340,2016-02-11T00:56:45.910250,16.539812088
2350,2016-02-11T00:56:46.154043,35.5458259583
2360,2016-02-11T00:56:46.373215,25.6180763245
2370,2016-02-11T00:56:46.667440,22.4170684814
2380,2016-02-11T00:56:46.887265,16.1628723145
2390,2016-02-11T00:56:47.076274,19.8650360107
2400,2016-02-11T00:56:47.273593,18.6491012573
2410,2016-02-11T00:56:47.462643,18.1310176849
2420,2016-02-11T00:56:47.655071,16.1318778992
2430,2016-02-11T00:56:47.869603,28.5069942474
2440,2016-02-11T00:56:48.070451,16.0419940948
2450,2016-02-11T00:56:48.263393,19.101858139
2460,2016-02-11T00:56:48.452376,16.273021698
2470,2016-02-11T00:56:48.635221,19.2079544067
2480,2016-02-11T00:56:48.838742,28.3200740814
2490,2016-02-11T00:56:49.031336,16.3590908051
2500,2016-02-11T00:56:56.115902,35.8278751373
2510,2016-02-11T00:56:56.356085,29.4930934906
2520,2016-02-11T00:56:56.713315,36.3299846649
2530,2016-02-11T00:56:56.935625,18.3019638062
2540,2016-02-11T00:56:57.122997,16.7548656464
2550,2016-02-11T00:56:57.315629,21.4660167694
2560,2016-02-11T00:56:57.501536,18.7518596649
2570,2016-02-11T00:56:57.684697,20.5390453339
2580,2016-02-11T00:56:57.907366,21.6569900513
2590,2016-02-11T00:56:58.092798,16.3249969482
2600,2016-02-11T00:56:58.285359,19.2949771881
2610,2016-02-11T00:56:58.484652,20.0839042664
2620,2016-02-11T00:56:58.680433,16.3390636444
2630,2016-02-11T00:56:58.900846,19.4621086121
2640,2016-02-11T00:56:59.115655,19.868850708
2650,2016-02-11T00:56:59.307863,16.3249969482
2660,2016-02-11T00:56:59.507542,19.3650722504
2670,2016-02-11T00:56:59.692786,16.2148475647
2680,2016-02-11T00:56:59.908549,25.0039100647
2690,2016-02-11T00:57:00.105423,20.2660560608
2700,2016-02-11T00:57:00.306984,16.8190002441
2710,2016-02-11T00:57:00.495898,18.7141895294
2720,2016-02-11T00:57:00.677761,16.3741111755
2730,2016-02-11T00:57:00.890962,19.9229717255
2740,2016-02-11T00:57:01.101944,27.2221565247
2750,2016-02-11T00:57:02.067140,18.6059474945
2760,2016-02-11T00:57:02.256196,16.5288448334
2770,2016-02-11T00:57:02.445107,17.7638530731
2780,2016-02-11T00:57:02.629745,17.8170204163
2790,2016-02-11T00:57:02.848880,30.534029007
2800,2016-02-11T00:57:03.038884,16.4029598236
2810,2016-02-11T00:57:03.231754,19.4480419159
2820,2016-02-11T00:57:03.423402,17.5089836121
2830,2016-02-11T00:57:03.613331,19.6959972382
2840,2016-02-11T00:57:03.815675,28.7959575653
2850,2016-02-11T00:57:04.013442,16.5319442749
2860,2016-02-11T00:57:04.214322,20.2088356018
2870,2016-02-11T00:57:04.411338,16.881942749
2880,2016-02-11T00:57:04.605231,20.1318264008
2890,2016-02-11T00:57:04.821936,33.3428382874
2900,2016-02-11T00:57:05.006647,17.1880722046
2910,2016-02-11T00:57:05.195919,19.513130188
2920,2016-02-11T00:57:05.387575,16.774892807
2930,2016-02-11T00:57:05.583121,17.3768997192
2940,2016-02-11T00:57:05.772344,17.7538394928
2950,2016-02-11T00:57:06.008530,25.242805481
2960,2016-02-11T00:57:06.252185,18.95403862
2970,2016-02-11T00:57:06.525298,31.9838523865
2980,2016-02-11T00:57:06.862185,20.9269523621
2990,2016-02-11T00:57:07.052470,17.2080993652
3000,2016-02-11T00:57:14.467428,17.6777839661
3010,2016-02-11T00:57:14.670598,17.8620815277
3020,2016-02-11T00:57:14.880848,17.0729160309
3030,2016-02-11T00:57:15.065922,20.1590061188
3040,2016-02-11T00:57:15.255059,21.8210220337
3050,2016-02-11T00:57:15.448346,19.0110206604
3060,2016-02-11T00:57:15.640127,18.3358192444
3070,2016-02-11T00:57:15.846689,17.5681114197
3080,2016-02-11T00:57:16.033884,16.5779590607
3090,2016-02-11T00:57:16.293665,16.891002655
3100,2016-02-11T00:57:16.551064,23.777961731
3110,2016-02-11T00:57:16.808911,27.9870033264
3120,2016-02-11T00:57:17.019922,19.2129611969
3130,2016-02-11T00:57:17.208996,20.0619697571
3140,2016-02-11T00:57:17.410109,20.0660228729
3150,2016-02-11T00:57:17.609702,21.2061405182
3160,2016-02-11T00:57:17.835520,37.8158092499
3170,2016-02-11T00:57:18.029018,19.5379257202
3180,2016-02-11T00:57:18.216380,16.6749954224
3190,2016-02-11T00:57:18.418412,19.5491313934
3200,2016-02-11T00:57:18.606250,17.2259807587
3210,2016-02-11T00:57:18.791469,17.049074173
3220,2016-02-11T00:57:18.988039,16.5529251099
3230,2016-02-11T00:57:19.185601,21.8820571899
3240,2016-02-11T00:57:19.382624,19.5460319519
3250,2016-02-11T00:57:19.576950,17.0180797577
3260,2016-02-11T00:57:19.767509,20.2150344849
3270,2016-02-11T00:57:20.006655,17.9831981659
3280,2016-02-11T00:57:20.199113,17.2798633575
3290,2016-02-11T00:57:20.390871,19.6399688721
3300,2016-02-11T00:57:21.266200,17.9340839386
3310,2016-02-11T00:57:21.564858,32.0780277252
3320,2016-02-11T00:57:21.846475,30.9948921204
3330,2016-02-11T00:57:22.052746,20.1189517975
